gene_id,control_1,control_2,control_3,treated_1,treated_2,treated_3
GENE_0001,438,575,465,1509,1397,1579
GENE_0002,52,51,58,167,221,190
GENE_0003,863,1060,810,1924,2653,2362
GENE_0004,232,223,257,436,620,736
GENE_0005,5,5,6,27,16,32
GENE_0006,2452,1638,1243,4607,3453,5414
GENE_0007,279,422,364,1949,1820,1372
GENE_0008,523,314,392,1877,1714,1804
GENE_0009,10,5,6,22,8,24
GENE_0010,30,54,79,135,284,193
GENE_0011,42,45,52,123,118,126
GENE_0012,958,869,1287,2934,5319,4290
GENE_0013,194,166,156,884,803,625
GENE_0014,448,513,494,1754,1665,2566
GENE_0015,72,66,29,187,200,209
GENE_0016,18,20,10,38,75,67
GENE_0017,105,97,114,429,451,418
GENE_0018,1,2,4,18,23,17
GENE_0019,502,643,515,1593,2552,1938
GENE_0020,182,194,265,739,571,748
GENE_0021,273,292,331,1037,1679,829
GENE_0022,42,19,14,97,109,103
GENE_0023,2223,1350,973,5914,6878,4433
GENE_0024,1245,846,910,3009,4931,3007
GENE_0025,311,349,547,1759,2163,1347
GENE_0026,18,10,20,42,79,49
GENE_0027,68,63,66,241,185,336
GENE_0028,1,1,7,14,15,15
GENE_0029,8,8,11,21,21,38
GENE_0030,282,149,321,794,1321,897
GENE_0031,273,298,504,58,90,97
GENE_0032,1291,1066,1491,362,361,321
GENE_0033,17,29,23,6,5,2
GENE_0034,23,39,46,6,3,11
GENE_0035,79,59,63,12,20,3
GENE_0036,12,8,13,2,2,3
GENE_0037,8,9,7,3,0,3
GENE_0038,51,51,43,7,7,23
GENE_0039,12,8,15,2,8,2
GENE_0040,232,216,156,40,82,71
GENE_0041,56,38,39,6,8,14
GENE_0042,835,472,640,75,115,145
GENE_0043,330,125,277,25,52,54
GENE_0044,18,14,11,7,6,8
GENE_0045,344,584,595,112,214,173
GENE_0046,624,432,596,164,118,142
GENE_0047,42,42,19,6,5,10
GENE_0048,26,25,23,7,7,12
GENE_0049,224,189,325,48,52,58
GENE_0050,8,16,0,2,0,1
GENE_0051,4,8,12,2,4,2
GENE_0052,3,5,1,1,0,0
GENE_0053,372,506,487,73,79,43
GENE_0054,189,228,173,28,41,45
GENE_0055,235,364,298,40,75,82
GENE_0056,495,340,264,54,87,95
GENE_0057,77,57,46,10,15,17
GENE_0058,192,127,137,27,25,38
GENE_0059,5,7,3,0,0,1
GENE_0060,15,5,11,0,1,2
GENE_0061,143,225,207,205,195,128
GENE_0062,83,57,62,85,81,68
GENE_0063,161,97,111,143,130,212
GENE_0064,327,281,322,338,410,448
GENE_0065,234,135,134,154,170,177
GENE_0066,105,120,95,73,92,110
GENE_0067,94,134,88,83,106,86
GENE_0068,19,9,18,11,14,39
GENE_0069,7,5,2,5,3,0
GENE_0070,31,48,46,42,59,65
GENE_0071,18,14,14,8,14,9
GENE_0072,82,42,23,33,49,36
GENE_0073,622,654,329,603,345,522
GENE_0074,11,11,10,13,21,13
GENE_0075,1,4,4,1,5,6
GENE_0076,17,19,14,12,13,9
GENE_0077,15,20,38,26,14,13
GENE_0078,227,208,313,85,156,182
GENE_0079,92,125,104,98,91,132
GENE_0080,559,438,598,551,595,553
GENE_0081,164,227,170,145,163,218
GENE_0082,42,31,42,31,50,54
GENE_0083,605,336,518,588,470,623
GENE_0084,9,9,15,6,8,5
GENE_0085,5,4,2,2,3,0
GENE_0086,6,1,7,6,1,2
GENE_0087,311,186,250,217,194,313
GENE_0088,58,44,57,29,42,38
GENE_0089,17,3,15,7,12,14
GENE_0090,85,81,53,43,68,102
GENE_0091,12,10,12,5,6,9
GENE_0092,279,222,246,255,196,313
GENE_0093,28,46,71,49,66,58
GENE_0094,40,41,41,34,41,38
GENE_0095,30,31,17,23,25,15
GENE_0096,159,173,151,131,178,126
GENE_0097,25,31,35,23,24,30
GENE_0098,14,3,5,9,1,4
GENE_0099,6,6,9,3,9,2
GENE_0100,1463,1757,1232,1353,1315,1430
GENE_0101,677,905,849,1023,1232,987
GENE_0102,243,223,183,257,203,258
GENE_0103,20,20,11,19,14,20
GENE_0104,1300,1192,1992,1077,1302,1587
GENE_0105,547,326,482,361,491,426
GENE_0106,359,192,220,155,212,271
GENE_0107,59,43,52,30,66,52
GENE_0108,25,15,16,5,27,28
GENE_0109,10,2,6,6,8,5
GENE_0110,971,944,1251,869,662,814
GENE_0111,45,54,85,35,42,58
GENE_0112,8,10,12,7,9,7
GENE_0113,33,22,26,15,40,25
GENE_0114,135,116,162,98,122,144
GENE_0115,11,8,13,5,10,3
GENE_0116,848,560,654,629,766,703
GENE_0117,320,352,379,452,438,524
GENE_0118,420,188,193,191,297,253
GENE_0119,29,50,45,47,44,20
GENE_0120,156,210,215,109,188,203
GENE_0121,122,136,111,144,130,129
GENE_0122,202,229,203,181,216,242
GENE_0123,7,4,5,6,5,6
GENE_0124,33,52,41,39,47,34
GENE_0125,5,4,4,4,9,2
GENE_0126,100,57,44,83,54,96
GENE_0127,17,22,23,26,34,27
GENE_0128,3,8,10,10,5,3
GENE_0129,6,8,4,2,9,8
GENE_0130,150,117,109,79,106,110
GENE_0131,13,9,12,11,6,12
GENE_0132,1061,950,813,877,789,957
GENE_0133,155,64,137,136,145,145
GENE_0134,17,17,27,17,44,19
GENE_0135,109,102,198,146,157,91
GENE_0136,1,4,2,1,3,5
GENE_0137,1408,850,1440,813,1299,932
GENE_0138,48,56,85,42,57,97
