gene_id,expected_log2_fold_change,is_differential
GENE_0001,2.0,True
GENE_0002,2.0,True
GENE_0003,2.0,True
GENE_0004,2.0,True
GENE_0005,2.0,True
GENE_0006,2.0,True
GENE_0007,2.0,True
GENE_0008,2.0,True
GENE_0009,2.0,True
GENE_0010,2.0,True
GENE_0011,2.0,True
GENE_0012,2.0,True
GENE_0013,2.0,True
GENE_0014,2.0,True
GENE_0015,2.0,True
GENE_0016,2.0,True
GENE_0017,2.0,True
GENE_0018,2.0,True
GENE_0019,2.0,True
GENE_0020,2.0,True
GENE_0021,2.0,True
GENE_0022,2.0,True
GENE_0023,2.0,True
GENE_0024,2.0,True
GENE_0025,2.0,True
GENE_0026,2.0,True
GENE_0027,2.0,True
GENE_0028,2.0,True
GENE_0029,2.0,True
GENE_0030,2.0,True
GENE_0031,-2.0,True
GENE_0032,-2.0,True
GENE_0033,-2.0,True
GENE_0034,-2.0,True
GENE_0035,-2.0,True
GENE_0036,-2.0,True
GENE_0037,-2.0,True
GENE_0038,-2.0,True
GENE_0039,-2.0,True
GENE_0040,-2.0,True
GENE_0041,-2.0,True
GENE_0042,-2.0,True
GENE_0043,-2.0,True
GENE_0044,-2.0,True
GENE_0045,-2.0,True
GENE_0046,-2.0,True
GENE_0047,-2.0,True
GENE_0048,-2.0,True
GENE_0049,-2.0,True
GENE_0050,-2.0,True
GENE_0051,-2.0,True
GENE_0052,-2.0,True
GENE_0053,-2.0,True
GENE_0054,-2.0,True
GENE_0055,-2.0,True
GENE_0056,-2.0,True
GENE_0057,-2.0,True
GENE_0058,-2.0,True
GENE_0059,-2.0,True
GENE_0060,-2.0,True
GENE_0061,0.0,False
GENE_0062,0.0,False
GENE_0063,0.0,False
GENE_0064,0.0,False
GENE_0065,0.0,False
GENE_0066,0.0,False
GENE_0067,0.0,False
GENE_0068,0.0,False
GENE_0069,0.0,False
GENE_0070,0.0,False
GENE_0071,0.0,False
GENE_0072,0.0,False
GENE_0073,0.0,False
GENE_0074,0.0,False
GENE_0075,0.0,False
GENE_0076,0.0,False
GENE_0077,0.0,False
GENE_0078,0.0,False
GENE_0079,0.0,False
GENE_0080,0.0,False
GENE_0081,0.0,False
GENE_0082,0.0,False
GENE_0083,0.0,False
GENE_0084,0.0,False
GENE_0085,0.0,False
GENE_0086,0.0,False
GENE_0087,0.0,False
GENE_0088,0.0,False
GENE_0089,0.0,False
GENE_0090,0.0,False
GENE_0091,0.0,False
GENE_0092,0.0,False
GENE_0093,0.0,False
GENE_0094,0.0,False
GENE_0095,0.0,False
GENE_0096,0.0,False
GENE_0097,0.0,False
GENE_0098,0.0,False
GENE_0099,0.0,False
GENE_0100,0.0,False
GENE_0101,0.0,False
GENE_0102,0.0,False
GENE_0103,0.0,False
GENE_0104,0.0,False
GENE_0105,0.0,False
GENE_0106,0.0,False
GENE_0107,0.0,False
GENE_0108,0.0,False
GENE_0109,0.0,False
GENE_0110,0.0,False
GENE_0111,0.0,False
GENE_0112,0.0,False
GENE_0113,0.0,False
GENE_0114,0.0,False
GENE_0115,0.0,False
GENE_0116,0.0,False
GENE_0117,0.0,False
GENE_0118,0.0,False
GENE_0119,0.0,False
GENE_0120,0.0,False
GENE_0121,0.0,False
GENE_0122,0.0,False
GENE_0123,0.0,False
GENE_0124,0.0,False
GENE_0125,0.0,False
GENE_0126,0.0,False
GENE_0127,0.0,False
GENE_0128,0.0,False
GENE_0129,0.0,False
GENE_0130,0.0,False
GENE_0131,0.0,False
GENE_0132,0.0,False
GENE_0133,0.0,False
GENE_0134,0.0,False
GENE_0135,0.0,False
GENE_0136,0.0,False
GENE_0137,0.0,False
GENE_0138,0.0,False
GENE_0139,0.0,False
GENE_0140,0.0,False
GENE_0141,0.0,False
GENE_0142,0.0,False
GENE_0143,0.0,False
GENE_0144,0.0,False
GENE_0145,0.0,False
GENE_0146,0.0,False
GENE_0147,0.0,False
GENE_0148,0.0,False
GENE_0149,0.0,False
GENE_0150,0.0,False
GENE_0151,0.0,False
GENE_0152,0.0,False
GENE_0153,0.0,False
GENE_0154,0.0,False
GENE_0155,0.0,False
GENE_0156,0.0,False
GENE_0157,0.0,False
GENE_0158,0.0,False
GENE_0159,0.0,False
GENE_0160,0.0,False
GENE_0161,0.0,False
GENE_0162,0.0,False
GENE_0163,0.0,False
GENE_0164,0.0,False
GENE_0165,0.0,False
GENE_0166,0.0,False
GENE_0167,0.0,False
GENE_0168,0.0,False
GENE_0169,0.0,False
GENE_0170,0.0,False
GENE_0171,0.0,False
GENE_0172,0.0,False
GENE_0173,0.0,False
GENE_0174,0.0,False
GENE_0175,0.0,False
GENE_0176,0.0,False
GENE_0177,0.0,False
GENE_0178,0.0,False
GENE_0179,0.0,False
GENE_0180,0.0,False
GENE_0181,0.0,False
GENE_0182,0.0,False
GENE_0183,0.0,False
GENE_0184,0.0,False
GENE_0185,0.0,False
GENE_0186,0.0,False
GENE_0187,0.0,False
GENE_0188,0.0,False
GENE_0189,0.0,False
GENE_0190,0.0,False
GENE_0191,0.0,False
GENE_0192,0.0,False
GENE_0193,0.0,False
GENE_0194,0.0,False
GENE_0195,0.0,False
GENE_0196,0.0,False
GENE_0197,0.0,False
GENE_0198,0.0,False
GENE_0199,0.0,False
GENE_0200,0.0,False
GENE_0201,0.0,False
GENE_0202,0.0,False
GENE_0203,0.0,False
GENE_0204,0.0,False
GENE_0205,0.0,False
GENE_0206,0.0,False
GENE_0207,0.0,False
GENE_0208,0.0,False
GENE_0209,0.0,False
GENE_0210,0.0,False
GENE_0211,0.0,False
GENE_0212,0.0,False
GENE_0213,0.0,False
GENE_0214,0.0,False
GENE_0215,0.0,False
GENE_0216,0.0,False
GENE_0217,0.0,False
GENE_0218,0.0,False
GENE_0219,0.0,False
GENE_0220,0.0,False
GENE_0221,0.0,False
GENE_0222,0.0,False
GENE_0223,0.0,False
GENE_0224,0.0,False
GENE_0225,0.0,False
GENE_0226,0.0,False
GENE_0227,0.0,False
GENE_0228,0.0,False
GENE_0229,0.0,False
GENE_0230,0.0,False
GENE_0231,0.0,False
GENE_0232,0.0,False
GENE_0233,0.0,False
GENE_0234,0.0,False
GENE_0235,0.0,False
GENE_0236,0.0,False
GENE_0237,0.0,False
GENE_0238,0.0,False
GENE_0239,0.0,False
GENE_0240,0.0,False
GENE_0241,0.0,False
GENE_0242,0.0,False
GENE_0243,0.0,False
GENE_0244,0.0,False
GENE_0245,0.0,False
GENE_0246,0.0,False
GENE_0247,0.0,False
GENE_0248,0.0,False
GENE_0249,0.0,False
GENE_0250,0.0,False
GENE_0251,0.0,False
GENE_0252,0.0,False
GENE_0253,0.0,False
GENE_0254,0.0,False
GENE_0255,0.0,False
GENE_0256,0.0,False
GENE_0257,0.0,False
GENE_0258,0.0,False
GENE_0259,0.0,False
GENE_0260,0.0,False
GENE_0261,0.0,False
GENE_0262,0.0,False
GENE_0263,0.0,False
GENE_0264,0.0,False
GENE_0265,0.0,False
GENE_0266,0.0,False
GENE_0267,0.0,False
GENE_0268,0.0,False
GENE_0269,0.0,False
GENE_0270,0.0,False
GENE_0271,0.0,False
GENE_0272,0.0,False
GENE_0273,0.0,False
GENE_0274,0.0,False
GENE_0275,0.0,False
GENE_0276,0.0,False
GENE_0277,0.0,False
GENE_0278,0.0,False
GENE_0279,0.0,False
GENE_0280,0.0,False
GENE_0281,0.0,False
GENE_0282,0.0,False
GENE_0283,0.0,False
GENE_0284,0.0,False
GENE_0285,0.0,False
GENE_0286,0.0,False
GENE_0287,0.0,False
GENE_0288,0.0,False
GENE_0289,0.0,False
GENE_0290,0.0,False
GENE_0291,0.0,False
GENE_0292,0.0,False
GENE_0293,0.0,False
GENE_0294,0.0,False
GENE_0295,0.0,False
GENE_0296,0.0,False
GENE_0297,0.0,False
GENE_0298,0.0,False
GENE_0299,0.0,False
GENE_0300,0.0,False
GENE_0301,0.0,False
GENE_0302,0.0,False
GENE_0303,0.0,False
